3,17,,,
到此为止了 魔女小姐！,FALSE,TRUE,FaceMarisa_sp,FaceRakuki_an2
诶 出现了一个奇怪的人类呢,TRUE,FALSE,FaceMarisa_sp,FaceRakuki_an2
才不是什么奇怪的人类呢,FALSE,TRUE,FaceMarisa_sp,FaceRakuki_an
我叫洛熙,FALSE,TRUE,FaceMarisa_sp,FaceRakuki_an
罕见的弓箭使呢,TRUE,FALSE,FaceMarisa_no,FaceRakuki_an
你也是来妨碍我的吗？,TRUE,FALSE,FaceMarisa_sw,FaceRakuki_an
因为和姐姐约定好了……,FALSE,TRUE,FaceMarisa_sw,FaceRakuki_dp
总之你不能继续往前的哦,FALSE,TRUE,FaceMarisa_sw,FaceRakuki_an2
前面有些什么我并不感兴趣,TRUE,FALSE,FaceMarisa_no,FaceRakuki_an2
我只是来收集流星碎片的说~,TRUE,FALSE,FaceMarisa_hp,FaceRakuki_an2
就让我过去吧 如何？,TRUE,FALSE,FaceMarisa_hp2,FaceRakuki_an2
那你可要问问我手里这张弓了！,FALSE,TRUE,FaceMarisa_hp2,FaceRakuki_dp
只不过是弓箭而已,TRUE,FALSE,FaceMarisa_hp,FaceRakuki_dp
追的上我的魔法话就来试试吧~,TRUE,FALSE,FaceMarisa_hp2,FaceRakuki_dp
真是目光短浅！,FALSE,TRUE,FaceMarisa_hp2,FaceRakuki_an
那种三脚猫魔法在我面前毫无用处,FALSE,TRUE,FaceMarisa_hp2,FaceRakuki_an
就让你带着恐惧和后悔,FALSE,TRUE,FaceMarisa_hp2,FaceRakuki_dp
去死吧！,FALSE,TRUE,FaceMarisa_hp2,FaceRakuki_bk
